1-UCA01,Outdoor sitting                 ,Non UFA                                      
1-UCA02,Outdoor Sitting                 ,Non UFA                                      
1-UCA03,Outdoor Sitting                 ,Non UFA                                      
1-UCA04,Outdoor Sitting                 ,Non UFA                                      
1-UCA05,Outdoor Sitting                 ,Non UFA                                      
1-UCA06,Outdoor Passage                 ,Non UFA                                      
1-VD01,Void                            ,Non UFA                                      
101,Office                          ,Monash Student Organisations            
101A,Lounge                          ,Monash Student Organisations            
101B,Quiet Study Area                ,Monash Student Organisations            
101C,Office                          ,Monash Student Organisations            
102,Office                          ,Monash Student Organisations            
103,Office                          ,Monash Student Organisations            
105,Office                          ,Monash Student Organisations            
106,Store                           ,Monash Student Organisations            
107,Office,Monash Student Organisations            
108,Lots Wife,Monash Student Organisations            
109,Store                           ,Monash Student Organisations            
110,Office,Monash Student Organisations            
1101,Store                           ,Buildings & Property Division           
1102,Staff Room                      ,Buildings & Property Division           
1103,Female Toilet,Non UFA                                      
1104,Male Toilet                     ,Non UFA                                      
1105,Accessible Toilet,Non UFA                                      
1106,Plantroom                       ,Non UFA                                      
1107,Passage                         ,Non UFA                                      
1108,Ticket Office                   ,Monash Student Organisations            
1109,Office                          ,Monash Student Organisations            
1110,Store                           ,Monash University                       
1111,Corridor                        ,Non UFA                                      
1112,Plant room                      ,Non UFA                                      
1113,Projectionist                   ,Monash University                       
1114,All-gender toilet,Non UFA                                      
1115,Gallery                         ,Monash University                       
1116,Female Toilet,Non UFA                                      
1117,Male Toilet,Non UFA                                      
1118,Kitchen and prep                ,Food & Beverage                              
1119,Staff Toilet                    ,Non UFA                                      
112,Lot's Wife Lounge,Monash Student Organisations            
1120,Sir Johns Bar                   ,Food & Beverage                              
1121,Sitting                         ,Food & Beverage                              
1121A,Toilet                          ,Non UFA                                      
1122,Band Room                       ,Monash Student Organisations            
1122A,Control Room                    ,Monash Student Organisations            
1123,Reception/ Waiting              ,Monash Student Organisations            
1124,Office                          ,Monash Student Organisations            
1125,Broadcast Room                  ,Monash Student Organisations            
1126,Store                           ,Monash Student Organisations            
1127,Office                          ,Monash Student Organisations            
1128,General Office                  ,Monash Student Organisations            
1129,Office                          ,Monash Student Organisations            
113,Women's Lounge                  ,Monash Student Organisations            
1130,MUISS Lounge                    ,Monash Student Organisations            
1130A,Kitchen                         ,Monash Student Organisations            
1131,Conference Room                 ,Monash University                       
1133,Store                           ,Monash University                       
1134,Conference Store                ,Monash University                       
1135,Office                          ,Monash Student Organisations            
1136,Office                          ,Monash Student Organisations            
1137,Office                          ,Monash Student Organisations            
1138,Lounge/Waiting                  ,Monash Student Organisations            
1139,Office                          ,Monash Student Organisations            
114,Breastfeeding / Quiet Room      ,Monash Student Organisations            
1140,Office                          ,Monash Student Organisations            
1141,General Office                  ,Monash Student Organisations            
1143,Meeting Room                    ,Monash Student Organisations            
1144,Office                          ,Monash Student Organisations            
1145,Office                          ,Monash Student Organisations            
1146,Office                          ,Monash Student Organisations            
1147,Office                          ,Monash Student Organisations            
1149,Office                          ,Campus Community Division               
1150,Store                           ,Campus Community Division               
1151,Office                          ,Campus Community Division               
1152,Store                           ,Campus Community Division               
1153,Office                          ,Campus Community Division               
1154,Toilet,Non UFA                                      
1155,Office                          ,Campus Community Division               
1156,Staff Room,Campus Community Division               
1157,Office                          ,Campus Community Division               
1158,Meeting Room                    ,Campus Community Division               
1159,Office                          ,Campus Community Division               
116,Meeting Rm                      ,Monash Student Organisations            
1160,Office                          ,Campus Community Division               
1160A,Office                          ,Campus Community Division               
1161,Office                          ,Campus Community Division               
1162,Office                          ,Campus Community Division               
1163,Office                          ,Campus Community Division               
1164,Office                          ,Campus Community Division               
1165,Office                          ,Campus Community Division               
1166,Reception                       ,Campus Community Division               
1167,General Office                  ,Campus Community Division               
1168,Photocopy                       ,Campus Community Division               
1169,Office                          ,Campus Community Division               
117,Office                          ,Monash Student Organisations            
1170,Office                          ,Campus Community Division               
1171,Seminar Room                    ,Campus Community Division               
1172,Office                          ,Campus Community Division               
1172A,Photocopy                       ,Campus Community Division               
1173,Tea Room                        ,Monash University                       
1174,Office                          ,Campus Community Division               
1175,Office                          ,Campus Community Division               
1176,Office                          ,Campus Community Division               
1177,Office                          ,Campus Community Division               
1178,Office                          ,Campus Community Division               
1179,Consultation                    ,Campus Community Division               
118,Waiting Lounge                  ,Monash Student Organisations            
119,Office                          ,Monash Student Organisations            
